Commodity,HHI_Score,Total_Quantity,Total_FOB,Export_Frequency,Scaled_HHI,Scaled_Quantity,Scaled_FOB,Scaled_Frequency
Abaca Fibers,444.8173328944115,59915016.48,201046278.0,65.0,-0.34755849079918744,-0.4411002152413012,-0.6924342847291544,-1.0408626344358982
Activated Carbon,135.93427445777053,715650089.45,1067588356.0,406.0,-0.4970824562590878,-0.33401796366653685,-0.5499275843826247,-0.02159489832581259
Articles Of Apparel,508.7106101656123,1437979699.39,6206883766.0,977.0,-0.31662906322820744,-0.21606075167669528,0.2952524127336442,1.6851554750432751
"Baby Carriage, Toys, Games, And Sporting Goods",294.12663739282897,204643336.73,1516268233.0,661.0,-0.42050477170998973,-0.4174659229213713,-0.47614018223969395,0.7406141125482983
Bananas (Fresh),398.92796567695905,22756476505.151985,11372060842.0,249.0,-0.3697725940702689,3.265272994604184,1.1446887649823074,-0.4908765246286966
Basketworks,953.3747209757003,67742818.71,335106123.0,427.0,-0.10137626988129386,-0.43982192661191033,-0.6703875467288363,0.0411752555108789
"Cathodes And Sections Of Cathodes, Of Refined Copper",500.3815880786107,1442168016.99,11148789312.0,58.0,-0.3206609723175401,-0.2153767948511333,1.1079707684424773,-1.0617860190481287
Ceramic Tiles And Decor,613.5929551999761,95172622.27,164695327.0,362.0,-0.26585766703818814,-0.4353426098168597,-0.6984123603621629,-0.1531133158884043
Chemicals,190.83597983529054,10571441358.95,12661182251.0,990.0,-0.4705056645758307,1.2754434845504465,1.356690516549482,1.7240131893231316
Christmas Decor,1117.5022885807414,134113723.11,633744389.0,474.0,-0.0219254742507282,-0.42898348563907157,-0.6212751551146933,0.18166083790728366
Chromium Ore,1524.3053619034981,560865683.59,112840578.0,9.0,0.17499956589992863,-0.35929442571862724,-0.7069401045593553,-1.2082497113337423
Coconut Oil,299.2201305604268,9258034933.32,12729878732.0,489.0,-0.41803911593619353,1.060962784818745,1.3679879585102035,0.22649666207634903
"Coffee Raw, Not Roasted",667.434315493983,240897.53,2242318.0,60.0,-0.23979416670358986,-0.4508450638567094,-0.7251284805157131,-1.05580790915892
Copper Concentrates,725.2031876178327,1792974650.3,5084061557.0,49.0,-0.2118294382920583,-0.1580896895693389,0.11059930454333247,-1.088687513549568
Copra Oil Cake Or Meal,366.3402794531874,2554444778.09,495358742.0,61.0,-0.3855476258703403,-0.03374078838679189,-0.6440332905012701,-1.0528188542143158
Dessicated Coconut,164.8447131439629,1264126884.73,2689802105.0,546.0,-0.48308750471521245,-0.24445110565316272,-0.28314731543097243,0.3968727939187974
Electronic Equipment And Parts,169.58375378268246,493904805.25,8748688396.0,684.0,-0.48079343215466663,-0.37022921007840653,0.7132634937221798,0.8093623762741986
Electronic Products_Automotive Electronics,614.9011371722568,91649280.99000001,866879043.0,282.0,-0.2652244029251333,-0.4359179752851422,-0.5829351239477707,-0.39223771145675285
Electronic Products_Communication/Radar,503.55930254334476,217724232.35999998,4998713023.0,549.0,-0.3191227057959925,-0.4153297984186348,0.09656335837459534,0.4058399587526104
Electronic Products_Components/Devices (Semiconductors),150.99363902172234,22756476505.151985,21657247520.0,905.0,-0.48979252615315977,3.265272994604184,2.836133477410762,1.4699435190317613
Electronic Products_Consumer Electronics,228.85784656474007,178449665.95,8302256061.0,840.0,-0.4521000572357917,-0.4217433778871801,0.6398457098614327,1.2756549476324783
Electronic Products_Control And Instrumentation,165.8799371346636,81479441.98,6292779445.0,618.0,-0.4825863739733316,-0.43757872107141116,0.30937833933211545,0.612084749930311
Electronic Products_Electronic Data Processing,168.07657602167095,543607771.55,21657247520.0,1039.0,-0.4815230260554136,-0.36211266155029065,2.836133477410762,1.8704768816087451
Electronic Products_Medical/Industrial Instrumentation,238.7588454132392,134385756.02,2104467053.0,353.0,-0.44730718637607386,-0.4289390623685985,-0.3794082691404637,-0.1800148103898435
Electronic Products_Office Equipment,175.392901008484,258553333.07,3882377242.0,513.0,-0.47798134290141164,-0.4086623618058617,-0.08702302787020076,0.2982339807468536
Electronic Products_Telecommunication,359.69380908219364,226320385.96,5934028382.0,671.0,-0.3887650461173836,-0.4139260371737141,0.25038013078356297,0.770504661994342
"Fertilizers, Manufactured",939.1514156689761,417847037.53000003,189471486.0,89.0,-0.10826148081572416,-0.38264952638133,-0.694337810774796,-0.9691253157653936
Fine Jewelry,598.7624869851148,734769.81,202295389.0,177.0,-0.2730367931072469,-0.45076441397551087,-0.6922288628673708,-0.7060884806402102
"Fish, Fresh Or Preserved Of Which: Shrimps And Prawn",206.24639379181983,680946214.64,2364267375.0,545.0,-0.4630457986452701,-0.33968514421887797,-0.3366829502238837,0.393883738974193
Footwear,228.6127116478537,60110108.8,885086229.0,546.0,-0.452218722030912,-0.4410683564529708,-0.5799408711984477,0.3968727939187974
Furniture,2560.641971891417,9810305.280000001,325598891.0,83.0,0.6766689040013872,-0.44928236914912606,-0.6719510533330117,-0.9870596454330198
Garments,8097.294458910843,56808.84,11228491.0,31.0,3.356849032437851,-0.45087512574027677,-0.7236506643825039,-1.1424905025524463
Gold,658.1667663345802,20696844.02,10765276603.0,68.0,-0.24428039753613234,-0.447504585516393,1.0449003970339825,-1.0318954696020852
"Ignition Wiring Set And Other Wiring Sets Used In Vehicles, Aircrafts And Ships",432.6907579390854,1252336367.5,18745931370.0,397.0,-0.3534287174925656,-0.2463765099578326,2.35735458284211,-0.0484963928272518
Iron And Steel,366.97855432455947,685734922.32,946032875.0,378.0,-0.3852386500712012,-0.3389031430393692,-0.5699179240858344,-0.10528843677473458
Iron Ore Agglomerates,2050.3536794022025,22047601550.66,466917112.0,7.0,0.42964878769287235,3.149512942502421,-0.6487106431038484,-1.214227821222951
Lumber,861.3135264557528,2942333657.34,1466603577.0,140.0,-0.1459412095684,0.029601888043148256,-0.484307755898368,-0.8166835135905715
Machinery And Transport Equipment,182.56643083118269,636010267.9300001,21584288214.0,1052.5999999999997,-0.47450878396320495,-0.34702323325620255,2.8241349949116437,1.9111280288553636
Mangoes,722.473438254794,87584889.39,114851317.0,166.0,-0.21315085407814585,-0.4365816948599369,-0.7066094295841603,-0.7389680850308582
Metal Components,170.96883107438975,1184148414.78,9718170579.0,760.0,-0.4801229445915975,-0.25751167690026827,0.8726991523608829,1.0365305520641297
"Miscellaneous Manufactured Articles, N.E.S.",323.5973846103072,1237303801.26,6702883020.0,1052.5999999999997,-0.4062385862761662,-0.24883134439673968,0.37682169696854123,1.9111280288553636
Molasses,9499.766403139753,5017749.64,8184674.0,8.0,4.0357569907076885,-0.45006499870469363,-0.7241512336314084,-1.2112387662783466
Natural Rubber,617.2302966106002,1217069967.27,1004476457.0,70.0,-0.2640969045211348,-0.25213555152390416,-0.5603066169852324,-1.0259173597128763
Nickel,9641.450214351553,895366.08,8018752.0,7.0,4.104343223313275,-0.450738188429715,-0.724178520242567,-1.214227821222951
Non-Metallic Mineral Manufactures,431.52933122554856,1914522618.91,2234785023.0,626.0,-0.353990940389082,-0.13824077391786044,-0.3579768991331113,0.6359971894871459
Not Woodcraft Furniture,7944.116168048769,337648.25999999995,43354391.0,28.0,3.282698557536472,-0.4508292643571295,-0.7183674171855194,-1.1514576673862593
Other Agro-Based,182.08383024842274,20225465267.9,488983440.0,627.0,-0.47474240102602727,2.851956103045492,-0.6450817372816383,0.6389862444317502
Other Coconut Product,922.0756855960802,1402777751.35,463354100.0,108.0,-0.11652749218761686,-0.2218092681299452,-0.6492965962806254,-0.9123332718179109
Other Forest Products,1312.8707282424625,129872287.94,356086672.0,68.0,0.07264838801218361,-0.4296761166216647,-0.6669372020942752,-1.0318954696020852
Other Fruits And Vegetables,219.27647200657645,253191956.71,474006847.0,474.0,-0.4567382045195706,-0.4095378804045059,-0.6475447046378097,0.18166083790728366
Other Manufactured Goods,135.00559140618077,22756476505.151985,21657247520.0,1052.5999999999997,-0.49753201271333924,3.265272994604184,2.836133477410762,1.9111280288553636
Other Mineral Products,486.198086781816,22756476505.151985,21657247520.0,227.0,-0.3275269149455894,3.265272994604184,2.836133477410762,-0.5566357334099924
Other Products Manufactured - Consignment Basis,340.5456857766356,43063472.91,1669832772.0,318.0,-0.39803426062935227,-0.44385209065923914,-0.4508858105262802,-0.28463173345099596
Other Sugar And Products,1544.0292823093703,188942883.56,140656406.0,251.0,0.18454751200104638,-0.42002982402334066,-0.70236566788014,-0.48489841473948786
Others,212.36363486369498,1472963314.69,8964092442.0,874.0,-0.4600845674681042,-0.2103478891976728,0.7486876475123805,1.3772828157490264
Petroleum Products,581.9518240989936,3009965567.2599998,1478532678.0,155.0,-0.28117449088019875,0.04064625259075959,-0.48234596216120285,-0.7718476894215062
Pineapple And Pineapple Products,240.75124723951953,7992926933.45,5679850452.0,601.0,-0.4463427054383273,0.8543692706152979,0.20857943924782985,0.561270815872037
Plywood,1543.701782973851,336829443.08,500686999.0,193.0,0.18438897627694367,-0.3958797877909924,-0.6431570349299067,-0.6582636015265406
Processed Food And Beverages,109.38052423192566,3049368956.29,6722414558.0,940.0,-0.5099365831629578,0.047080868933451134,0.3800337452968774,1.5745604420929138
Processed Tropical Fruits,203.15571755624885,2074879733.42,3257541682.0,762.0,-0.464541931741835,-0.11205428247400762,-0.18978001587508805,1.0425086619533384
"Ramie Fibers, Raw And Roasted",5238.968650098174,12520.0,14180.0,2.0,1.9731920210329523,-0.4508823581560836,-0.72549490772376,-1.2291730959459728
Rice,698.9316441852513,782777.85,987924.0,43.0,-0.22454695466435015,-0.4507565742102935,-0.7253347711903531,-1.1066218432171941
Seaweeds And Carageenan,96.67466161791295,340817820.51,1980725440.0,623.0,-0.5160872311533381,-0.39522848141294564,-0.3997581279781176,0.6270300246533328
Shrimps And Prawns,487.89671054267507,25202345.89,165175972.0,133.0,-0.32670464595539767,-0.4467688321540958,-0.6983333161533161,-0.837606898202802
Special Transactions,272.21324563897576,160751110.52,2562218399.0,1052.5999999999997,-0.43111259607010927,-0.4246335712643336,-0.30412902355760507,1.9111280288553636
Sugar,2593.301531827753,400257098.52,214130610.0,45.0,0.6924787283943878,-0.3855219825788038,-0.6902825081139182,-1.1006437333279853
Textile Yarns/Fabrics,140.73492778365795,578601223.6,2141374330.0,766.0,-0.49475855825795423,-0.35639819271927997,-0.3733387032214209,1.054464881731756
Travel Goods And Handbags,628.869294122469,269258751.29,4784775706.0,583.0,-0.2584627040869614,-0.4069141553513024,0.061380414694554526,0.5074678268691586
Tuna,136.6820791131408,931400867.05,3414951596.0,527.0,-0.49672045933369385,-0.2987856267110432,-0.16389325513319247,0.3400807499713146
Unmanufactured Tobacco,166.5755745462647,259979185.47,1014620486.0,267.0,-0.4822496301427333,-0.4084295185560509,-0.5586383862810224,-0.4370735356258182
Veneer Sheets/Corestocks,2832.736394080217,1686627.0,149384.0,8.0,0.8083842437519972,-0.45060897465971955,-0.7254726728243792,-1.2112387662783466
Wood Manufactures,4836.311334472955,15709733.38,26417302.0,73.0,1.7782738573160801,-0.44831898611534965,-0.7211527968319831,-1.0169501948790634
"Woodcrafts Furniture, Furniture",505.6176837833067,580210903.13,3572327062.0,824.0,-0.31812628557474393,-0.3561353302989346,-0.1380121595181709,1.2278300685188086
